District,Population 2011
Agra,4418797
Aligarh,3673889
Allahabad,5954391
Ambedkar Nagar,2397888
Amethi,2050133
Amroha,1840221
Auraiya,1379545
Azamgarh,4613913
Badaun,3127621
Bagpat,1303048
Bahraich,3487731
Ballia,3239774
Balrampur,2148665
Banda,1799410
Barabanki,3260699
Bareilly,4448359
Basti,2464464
Bijnor,3682713
Bulandshahr,3499171
Chandauli,1952756
Chitrakoot,991730
Deoria,3100946
Etah,1774480
Etawah,1581810
Faizabad,2470996
Farrukhabad,1885204
Fatehpur,2632733
Firozabad,2498156
Gautam Buddha Nagar,1648115
Ghaziabad,3343334
Ghazipur,3620268
Gonda,3433919
Gorakhpur,4440895
Hamirpur,1104285
Hapur,1338311
Hardoi,4092845
Hathras,1564708
Jalaun,1689974
Jaunpur,4494204
Jhansi,1998603
Kannauj,1656616
Kanpur Dehat,1796184
Kanpur Nagar,4581268
Kasganj,1436719
Kaushambi,1599596
Kushinagar,4021243
Lakhimpur Kheri,3564544
Lalitpur,1221592
Lucknow,4589838
Maharajganj,2684703
Mahoba,875958
Mainpuri,1868529
Mathura,2547184
Mau,2205968
Meerut,3443689
Mirzapur,2496970
Moradabad,3126507
Muzaffarnagar,2869934
Pilibhit,2031007
Pratapgarh,3209141
Rae Bareli,2903507
Rampur,2335819
Saharanpur,3466382
Sant Kabir Nagar,2199774
Sant Ravidas Nagar,1715183
Sambhal,1578213
Shahjahanpur,3006538
Shamli,1273578
Shravasti,1117361
Siddharthnagar,2559297
Sitapur,4483992
Sonbhadra,1862559
Sultanpur,2249036
Unnao,3108367
Varanasi,3676841